soft,,0.2*RIGID,,0.4*RIGID,,0.6*RIGID,,0.8*RIGID,,1*RIGID,
11.6549,9.02855,16.8379,16.467,12.5812,26.9244,14.94761,36.4239,12.2992,48.072,14.20146,45.1345
13.5529,9.10093,16.7951,16.7246,11.5109,27.3302,15.61172,36.9835,12.2509,48.6223,15.74188,45.7741
13.2562,10.2817,17.0888,17.0049,12.4108,28.9614,17.21257,37.3707,11.2205,49.0743,15.1865,46.3842
13.0919,10.2149,13.62752,18.3418,12.4005,28.0726,16.55682,37.8166,12.4164,49.6588,15.18539,46.9614
12.3293,9.98151,17.6555,17.3353,10.9561,28.3604,17.88396,38.1729,13.0909,50.0662,14.14969,51.7808
11.6956,9.59423,17.6261,17.5392,13.4948,28.7799,18.40588,38.7463,13.9955,55.5167,15.09661,48.1683
14.3462,9.73041,16.6329,17.7755,12.5574,29.1179,17.53596,39.1231,13.9157,51.1116,16.26721,48.7901
13.0446,9.8539,17.427,20.766,13.5149,29.4646,17.51435,39.5985,14.896,51.652,16.4328,49.3158
15.834,10.68,15.58529,18.2015,10.4659,29.8578,19.171,42.0329,13.796,52.136,14.03478,49.9427
15.3099,10.8234,18.0793,18.4002,13.9631,30.1351,19.5077,40.4802,13.8131,55.4759,15.50679,50.5777
14.7985,10.1776,17.4295,18.5719,13.7864,31.4197,19.8401,40.9648,13.5561,58.0976,14.96914,53.7925
14.9694,10.3213,17.4778,19.9226,12.9235,30.7972,15.79021,43.5611,14.6468,53.5679,17.25365,51.7318
15.1417,10.3942,19.0657,21.5108,13.4591,31.1039,18.18675,41.7752,11.4609,54.0054,17.47494,52.3613
14.6984,10.5135,18.6012,20.615,13.7667,31.4639,20.2547,42.2342,14.5298,58.639,17.74579,52.8937
14.6311,10.6165,16.6559,19.3493,12.9171,31.8194,18.87518,45.1599,13.6646,54.995,16.71574,53.5069
16.9324,10.6966,16.7517,19.5207,12.6634,32.098,19.0763,43.0899,15.5055,57.652,15.95638,56.2498
14.681,11.5534,20.5355,21.3154,14.7147,32.4724,19.371,43.4086,14.4643,55.9345,17.88304,54.6251
16.3935,10.8898,19.1277,20.4256,15.7427,32.8316,19.4843,43.8643,14.0582,56.3967,17.41915,55.2164
16.4851,11.0288,19.7937,20.0932,15.9042,33.0723,19.792,44.2388,13.9113,56.8592,17.64169,55.6711
15.78,11.1067,18.9391,20.2869,14.4517,33.4327,21.216,44.6273,15.8917,62.4149,18.18428,58.9176
16.9118,11.2299,20.7645,20.3882,16.2298,33.6798,18.77641,45.0411,15.5335,57.6858,17.86664,56.9368
16.466,12.2505,18.5599,20.5873,16.1749,34.0282,20.2698,45.5001,15.9592,58.1716,17.22141,57.4353
16.8174,12.1128,20.8442,21.8549,15.9869,34.2996,21.4112,45.9321,14.1636,58.6948,17.8905,58.088
17.5646,12.1115,22.1181,21.4382,15.815,35.9399,20.0037,49.5004,16.0417,59.096,17.26913,58.5797
15.1653,11.6274,20.5784,21.1246,16.1132,34.9076,22.3353,46.6475,17.193,59.491,19.0199,59.211
18.6894,12.3931,19.4596,21.3066,15.5016,35.2061,22.6501,47.0833,15.9639,59.9991,20.2234,59.5958
17.8413,11.7207,22.728,21.8771,16.6256,37.1575,22.3701,50.2223,17.5963,60.3766,20.2581,60.2944
18.7762,11.9442,22.0664,21.6059,15.5016,35.8502,20.6228,50.9801,16.5569,60.8732,18.75603,60.679
19.33,11.9992,20.5698,22.5512,17.1607,37.5415,21.7407,48.2381,17.2016,61.3282,18.87167,61.3196
19.1418,12.6888,21.1514,22.0167,17.6939,36.4423,22.781,48.5928,16.1062,67.4989,20.2318,61.8156
17.9428,12.9855,21.7859,22.8597,18.1619,38.1002,22.1568,48.9537,16.9089,67.8227,18.79163,62.3763
19.4151,12.2792,21.7565,22.6215,18.5483,39.291,22.9101,49.2506,18.0606,62.524,19.2627,63.0061
20.1354,13.1476,22.5527,22.4153,17.7319,38.7955,24.1699,53.5914,20.7382,64.6736,19.9649,63.5189
19.0393,12.4509,21.332,22.576,18.8724,37.529,22.4439,50.1315,18.7029,62.4301,21.7348,63.9715
19.832,13.2206,24.4415,22.6812,18.3265,37.8429,22.3047,53.7671,17.6614,64.5539,19.102,64.5205
19.9658,13.3523,21.0567,23.5829,18.025,38.0622,23.3815,50.8071,21.2015,65.9387,19.6966,64.9509
19.8694,12.7882,24.1992,23.0986,18.4115,38.3764,24.1207,51.1766,19.4297,64.6626,25.1833,70.4924
20.4461,13.3531,24.3744,23.1355,19.1967,40.0406,21.1003,51.5154,19.6078,65.4333,21.1563,66.1797
20.1002,13.4598,24.4319,23.9402,19.8177,40.4182,22.7523,51.8429,18.6136,65.4595,22.3008,66.6248
20.6008,13.0733,25.2745,23.4939,18.9436,39.1045,24.1119,52.1949,21.6223,66.8986,20.3331,67.1656
24.4216,14.1031,24.615,23.6238,18.399,39.4492,22.4199,52.5487,19.5874,65.7292,20.9062,67.5491
20.9284,13.2071,21.3532,23.7344,21.4203,39.6931,23.9681,52.8745,18.4175,66.4899,23.2469,68.5066
22.5096,13.2889,23.5519,24.1808,18.8863,39.9232,23.8461,53.2649,20.7164,65.4095,20.4554,68.6124
21.2438,13.3366,26.1293,24.0339,19.2972,40.2115,25.633,53.5269,21.2891,67.5611,22.2065,77.3096
22.5297,13.7291,24.021,24.145,19.7765,40.4035,23.4774,57.3148,19.7213,70.0658,24.1351,69.0889
21.1672,13.4926,24.9872,24.2822,19.1397,40.6872,24.8714,56.0842,20.6088,66.4796,23.3776,74.5162
22.3688,13.542,25.8871,24.4509,21.8582,40.8922,25.4182,54.5554,20.7511,68.2465,23.8498,70.6065
23.1148,13.6141,24.9337,24.5428,20.6525,41.1067,26.6314,54.8286,22.6232,69.7437,22.5725,71.7974
23.0392,14.0659,23.854,24.6602,21.5322,41.3937,25.2018,59.2816,21.9026,69.1265,22.8089,70.4613
21.7358,14.2728,27.9397,25.2047,19.9301,41.6368,26.9667,55.4966,21.479,69.3541,22.8931,80.9819
23.0448,13.8176,26.3934,25.7495,19.7456,41.8399,28.0122,56.8803,21.4911,69.7226,23.7543,71.417
24.2524,13.8782,26.6392,25.2488,21.0543,42.0593,26.4736,57.0142,23.7923,71.0401,24.453,71.8961
22.2311,13.9536,26.3149,25.3955,21.4425,42.2771,26.4699,58.3405,22.0827,70.2804,23.1099,73.2097
23.3017,14.4081,27.2582,25.2284,21.5254,44.2914,28.5639,58.3394,23.7996,69.1503,24.7677,73.9072
23.1812,14.928,28.0564,25.9691,22.2357,42.6516,28.876,56.9655,24.8174,71.7362,23.8826,74.0356
24.788,14.6574,28.0997,25.5171,24.1173,44.4622,28.0992,58.6448,21.0397,71.1855,23.5178,74.6033
23.906,14.2173,26.4615,25.5545,23.7079,43.1411,27.9074,57.9044,25.7994,72.4887,25.5346,75.3408
25.2031,15.0452,29.6923,25.6814,23.9738,43.3488,28.1378,57.8209,23.2832,72.7386,24.1423,76.7005
23.1591,14.356,26.8068,26.1307,24.0146,43.6107,28.2576,59.2483,26.0234,72.9969,25.6922,75.7595
25.8179,14.3876,29.0619,25.9375,22.9124,43.799,28.8549,58.9379,24.8148,73.0894,23.679,76.3458
25.0258,14.4886,29.1392,26.1067,24.3177,43.9561,29.4355,59.3404,22.8638,72.667,25.6505,77.803
25.7607,14.7747,29.7156,26.4166,23.0274,44.2153,28.3501,63.397,21.6195,82.1639,27.5298,74.7027
27.5153,15.0418,29.374,26.2122,25.0929,44.3675,29.6173,59.1691,24.9007,74.0215,23.3237,75.6711
25.6113,15.1475,29.58,26.3078,26.0439,46.5969,29.4933,60.1413,23.3798,73.8929,27.7104,77.6851
26.5658,15.1881,28.5644,26.4096,24.0532,44.7843,28.477,59.7429,24.6205,73.6684,27.305,78.0987
26.0007,14.7391,30.5274,26.5086,25.1971,44.9359,30.2071,61.0137,25.6259,74.4812,26.0807,76.807
25.7381,14.8417,31.7808,26.558,24.1256,45.1702,30.8174,61.5709,23.785,74.2643,28.7682,76.7211
26.8667,15.7519,29.4549,26.6534,26.5958,45.2603,27.2451,60.3635,26.7206,74.7708,25.891,80.0795
26.6718,15.4658,31.4313,26.9456,22.2803,45.4526,27.2796,60.867,23.5172,74.8173,27.7576,79.6995
27.3201,14.9837,30.7781,28.2132,26.4463,45.6112,33.1446,61.8819,28.7287,74.0879,28.6371,80.6585
28.4882,15.4056,31.5456,26.9114,25.1388,46.258,31.1842,61.2599,25.9187,76.0299,28.9878,81.2609
28.0476,15.4381,29.3927,26.9796,25.5702,46.0173,31.7342,61.4828,27.2733,73.1393,28.5431,79.6581
27.563,15.5138,30.6882,27.36,27.3414,46.0959,33.0983,61.6887,25.5337,75.8373,29.8959,81.4748
28.4668,15.5373,33.0851,27.4468,27.0275,46.3555,33.1562,61.8148,27.4598,73.8444,28.0527,81.0753
31.0057,15.5453,31.6087,27.2129,27.0698,46.4699,32.6982,62.8063,27.1693,76.0334,28.9893,81.8608
26.6687,15.8212,32.7185,27.295,24.2424,50.2186,29.7342,62.3724,28.2106,74.8967,30.227,83.0103
28.866,15.3383,32.6713,27.6878,31.2329,47.6644,31.6681,62.4595,26.0186,76.647,31.302,83.0571
28.269,15.2942,32.6025,27.4016,27.3114,47.6594,34.0365,63.3232,29.0607,76.8893,29.3547,83.5316
29.5593,15.602,33.1731,27.7507,27.4192,47.0486,35.7004,63.5441,27.6745,77.1309,30.9233,80.6479
29.4502,15.8877,32.5636,28.3673,26.7686,47.2638,33.7597,62.1818,26.3922,77.4777,32.5347,84.2755
29.7668,15.7818,33.4786,28.6039,28.4818,47.4018,33.5429,63.6686,28.537,77.2168,29.1154,84.669
28.8188,15.8347,30.5688,29.0155,26.4014,48.1298,33.571,63.6305,28.958,77.8596,28.9869,85.3195
28.7547,15.5186,34.6431,27.7333,27.7991,47.6472,34.971,64.1381,27.4372,77.9473,31.9859,85.6241
30.5043,16.2645,36.0865,28.1127,28.5004,48.5383,34.21,64.0213,29.1345,78.9482,31.5844,84.4637
31.3089,15.9308,34.8653,27.9288,28.5838,50.3416,33.7804,64.3356,29.5528,77.2318,32.0504,84.5065
29.7617,16.1194,36.0692,29.2999,29.2239,50.5235,35.1139,62.9599,29.1249,78.5144,31.768,86.5925
28.7698,15.9283,35.3751,28.2526,28.6561,50.5689,34.9717,64.1611,29.4799,78.4108,31.5962,86.8817
29.7361,15.758,33.8829,28.0508,29.5854,48.3433,34.4304,64.3623,29.8199,78.0086,33.4069,82.2921
30.6354,15.9338,35.5877,29.484,30.4973,48.425,35.1016,64.5367,30.0535,80.069,29.9847,88.0817
30.6786,15.8281,35.6201,28.157,31.9684,49.1015,37.1267,64.9623,29.0313,76.802,31.7168,85.94
31.4921,15.8693,36.4991,28.2164,29.5328,49.5027,37.3892,64.7747,28.4213,78.8888,32.084,89.0876
32.3125,16.0252,35.24,28.2693,31.2731,48.6578,36.5768,65.2924,29.4863,80.5876,34.7536,84.5137
31.941,15.9645,35.2379,29.0981,31.06,48.9055,33.5833,65.6039,29.5137,79.7332,31.9812,83.8267
30.1416,16.145,36.4452,28.3723,29.9171,51.8326,35.5088,65.2426,29.3007,81.2898,31.9495,86.6844
31.1289,16.2964,36.1356,28.402,33.3534,50.9134,34.7403,65.7616,32.5267,79.9908,33.8246,88.2424
32.6943,16.0384,34.8938,28.4305,32.9422,51.7467,36.2133,65.9884,31.2393,78.0783,34.4919,87.936
32.2106,16.3462,37.2593,29.6397,32.856,49.2868,38.3437,64.3128,32.7953,80.4032,35.1744,88.5205
32.4043,16.1708,37.7248,28.5276,31.546,51.8539,36.3462,65.6782,31.3551,76.7824,33.2043,89.4272
31.7035,16.2825,37.13,28.5549,33.4774,49.7599,38.2352,66.1136,30.366,80.1445,34.8353,88.2338
32.4369,16.2375,38.4785,28.5672,32.2309,49.7929,37.8041,66.1465,35.2214,77.7738,34.2903,89.8358
31.8763,16.4845,36.7697,29.1535,33.2746,52.6181,37.2512,66.1358,33.3967,78.3331,36.8786,86.5063
32.549,16.1577,40.1116,28.6461,32.0358,52.7433,40.3022,65.9686,32.6526,80.7032,34.0946,92.0365
32.7727,16.1959,41.858,27.8046,37.4358,49.449,37.6642,64.5639,33.1491,80.2836,35.8328,90.2216
34.359,16.5098,36.9589,28.7363,31.7408,49.8582,38.315,64.9331,30.4881,80.7448,34.2628,89.4195
33.0884,16.2448,37.7663,28.7808,32.7477,51.5954,39.2152,66.5542,33.6518,81.0709,35.9888,88.1572
34.385,16.2234,35.7723,29.1979,32.9418,50.0324,40.5164,66.325,33.9038,76.0323,36.5115,90.707
33.6476,16.2604,39.826,28.8348,35.6955,53.2276,36.8969,67.7299,32.3641,81.1515,35.2085,93.4452
34.3361,16.4083,39.2268,30.0905,34.0846,50.2283,42.0193,66.6049,34.0644,83.5609,35.7898,91.0648
34.7884,16.5719,40.1424,28.9176,34.1852,51.1041,39.3672,66.0968,35.1468,77.9716,36.7381,91.1315
33.1545,16.3947,40.8419,28.9318,32.6915,50.3745,40.9971,66.9428,37.3716,81.127,36.6223,91.0605
34.18,16.4305,39.4566,28.9671,34.7126,50.4698,41.8501,67.1442,35.628,82.0085,37.0838,89.9608
36.0128,16.4469,38.9463,29.8001,38.2353,50.1646,42.1026,66.9517,32.2761,84.0711,36.6281,91.8538
35.8558,16.4147,42.9193,29.3714,34.5795,51.0801,39.9468,68.3952,35.0552,82.3526,36.8036,94.8962
34.4928,16.4595,41.8782,29.5103,35.7278,50.1959,41.0815,68.5911,33.9083,81.465,37.0776,88.1159
35.0148,16.7569,38.9051,29.0734,34.6635,50.7049,42.0521,64.7114,34.2786,84.3963,34.4041,94.8239
34.7449,16.5166,39.9303,29.1386,37.5658,50.2007,40.7223,67.1,36.0108,82.6339,40.394,91.5151
33.49,16.4787,40.8718,29.5909,36.2016,54.3352,42.5327,67.3531,35.6396,84.3538,39.4927,90.1335
35.8188,16.5514,41.0565,29.1566,37.7481,50.4605,40.6488,65.9725,37.3227,77.339,37.707,92.1466
36.798,16.4997,42.5143,29.1596,35.6517,50.5904,39.9643,67.5473,35.8395,81.037,41.091,92.0398
36.8322,16.5245,43.221,29.8228,38.5575,50.1692,41.1602,69.1013,36.8554,77.4693,40.1913,91.8868
36.7505,16.5194,43.3799,29.7275,36.2736,51.0633,42.8595,69.3793,36.6081,81.9625,36.0464,96.4658
45.2,16.4941,43.1178,29.222,35.5722,51.1595,46.2141,67.0445,32.8337,100.273,37.79,93.1028
34.8008,16.4884,43.9647,29.2242,37.0216,49.9064,41.1325,69.3736,36.6407,78.4985,38.1693,94.5986
35.2476,16.5404,44.8719,29.8856,39.5772,50.2571,42.9429,67.9671,37.1005,82.2763,37.4196,96.1021
37.7482,16.6557,43.5932,29.6681,39.5158,49.8391,41.7265,69.4732,37.1805,85.1216,39.4349,97.0797
36.9798,16.6871,44.1517,29.2864,36.3681,51.3955,42.1416,69.5715,36.258,82.001,40.6978,91.0483
38.2744,16.5745,42.6646,29.2883,38.8852,50.7532,43.2172,67.8227,37.17,85.4707,40.6115,95.7639
37.7725,16.5426,43.5309,30.2927,36.5885,51.4376,43.9221,67.7529,36.7693,85.4028,37.8322,97.7963
42.7419,15.3364,45.825,29.3101,37.9356,51.395,41.4894,69.9514,38.2025,85.4427,39.8332,97.4879
38.5233,16.5848,44.5665,29.7176,38.7046,51.1471,42.9157,68.3104,37.8772,84.2954,40.5941,97.6939
45.8093,15.8352,45.1212,29.3303,42.2004,50.2361,45.551,67.5167,38.6733,85.6852,41.4003,93.0618
39.5791,16.5633,44.922,29.3128,38.1433,51.5702,45.1484,69.8723,38.0055,85.6815,41.8148,91.9141
40.4182,16.7765,45.4759,29.3267,39.1202,51.6086,45.3562,65.1077,36.1655,85.7393,41.4651,96.8081
41.5017,16.557,48.3054,29.6998,38.3594,51.6066,45.0799,68.5972,37.2559,85.7848,42.9042,94.0334
